Feature	Gain	Cover	Frequency
Previously_Insured	0.462260400648982	0.0707273192230179	0.0208283701460028
Vehicle_Damage	0.328806422581296	0.0484043327862893	0.0300854235442263
Policy_Sales_Channel	0.0955224431633354	0.240768120197994	0.196372051866726
Age	0.0538041123785561	0.162718343237901	0.155957526460879
Region_Code	0.0333732834648508	0.162149593152719	0.203382908484498
Vehicle_Age	0.00908105852027109	0.0488523014549201	0.0446006194057788
Annual_Premium	0.00852169898417883	0.125862902873715	0.162423850525814
Vintage	0.005841806654115	0.127172541993604	0.153677296395875
Gender	0.0027887736044148	0.01334454507984	0.0326719531702005
