Feature	Gain	Cover	Frequency
Previously_Insured	0.507061521473113	0.115017356253276	0.0208996815286624
Vehicle_Damage	0.287824360068891	0.0783928874741386	0.0348328025477707
Policy_Sales_Channel	0.094295026943899	0.226141713577114	0.182656581740977
Age	0.053305537055447	0.196168379020164	0.15552016985138
Region_Code	0.028805304181223	0.178795232638305	0.172505307855626
Annual_Premium	0.00956407525879922	0.0742037577980086	0.164808917197452
Vintage	0.00831452447687991	0.0521150731740265	0.172372611464968
Vehicle_Age	0.00703831787762564	0.0434129994966144	0.0524150743099788
Gender	0.00289651032943176	0.0155421978188636	0.0362261146496815
Driving_License	0.00089482233469064	0.0202104027494886	0.00776273885350319
