Feature	Gain	Cover	Frequency
Vehicle_Damage	0.474525313284101	0.0607012967708136	0.00789935634874196
Previously_Insured	0.334452778023095	0.065761688620383	0.00424224692802809
Policy_Sales_Channel	0.093082588850017	0.163611127315374	0.0806026916325337
Age	0.0403094917804068	0.227889847251518	0.22674078408426
Region_Code	0.0285147337904531	0.144083883613975	0.100643651258046
Annual_Premium	0.0114112914948838	0.147759468686352	0.241369221767115
Vintage	0.0106956322014709	0.13344457387676	0.255412521942657
Vehicle_Age	0.00378070709275512	0.0281839409021021	0.0260386190754827
Gender	0.00322746348281682	0.0285641729627229	0.0570509069631363
