Feature	Gain	Cover	Frequency
Vehicle_Damage	0.489278862988954	0.0844562491624128	0.014195107218363
Previously_Insured	0.321287807074213	0.0926564546245727	0.00755058894593778
Policy_Sales_Channel	0.0772596918855042	0.210909725559356	0.142253095741468
Age	0.0575667575739564	0.211358731921259	0.190274841437632
Region_Code	0.026961960717635	0.185153693135582	0.187254605859257
Annual_Premium	0.00954902781201851	0.0904158335410859	0.182120205376019
Vintage	0.00863097751322029	0.0639668455433372	0.184838417396557
Vehicle_Age	0.0061668622694871	0.0415368889129799	0.0450015101177892
Gender	0.00329805216501117	0.0195455775994149	0.0465116279069768
