Feature	Gain	Cover	Frequency
Vehicle_Damage	0.452832951569127	0.0740308131936793	0.0589214807224286
Previously_Insured	0.359088541583705	0.0831054980188129	0.0293326501857308
Policy_Sales_Channel	0.0820443837502548	0.24145638660378	0.233828615345203
Age	0.0447897740051498	0.149968684622367	0.12591264250032
Region_Code	0.0237614461657694	0.112598114113896	0.116754194953247
Vehicle_Age	0.0207642672886823	0.0576409373817779	0.0480338158063277
Annual_Premium	0.00724776904724877	0.107564939297656	0.142308184962213
Vintage	0.00615276594092786	0.11021828317981	0.184706033047265
Gender	0.00249644226318021	0.0312094659850303	0.0514922505443832
Driving_License	0.000821658385954799	0.0322068776031906	0.00871013193288075
