Feature	Gain	Cover	Frequency
Vehicle_Damage	0.532860343748481	0.100789325229215	0.03125
Previously_Insured	0.291246302100887	0.122789540955079	0.0167682926829268
Policy_Sales_Channel	0.0657109599964008	0.234439121943932	0.184451219512195
Age	0.0640060459391151	0.196924753448397	0.176829268292683
Region_Code	0.0214412939793157	0.161504458975073	0.148628048780488
Vehicle_Age	0.00788931980933553	0.0463536981779603	0.0678353658536585
Vintage	0.0069479403801562	0.0256678478395748	0.166158536585366
Annual_Premium	0.00665808072990431	0.0734340198852124	0.159298780487805
Gender	0.00239030686235459	0.0204323808031051	0.0350609756097561
Driving_License	0.00084940645405008	0.0176648527424506	0.013719512195122
