Feature	Gain	Cover	Frequency
Previously_Insured	0.45562556850548	0.11494049814667	0.0128137713447541
Vehicle_Damage	0.322411086967921	0.0870729011508268	0.0220573990534968
Policy_Sales_Channel	0.091746934205849	0.209768227661725	0.135845349126837
Age	0.0557739254727777	0.205794179177707	0.169443445050231
Region_Code	0.0301676349617747	0.177072091850162	0.151136080591149
Annual_Premium	0.0153056426892948	0.0825448703915452	0.197672487753577
Vintage	0.0145218991216286	0.0405517279686926	0.210666150056735
Vehicle_Age	0.0100399325778311	0.0479472730637883	0.0537320454985747
Gender	0.00339481674507662	0.0192523507426477	0.0382475853098276
Driving_License	0.00101255875236714	0.0150558798462349	0.00838568621481748
