Feature	Gain	Cover	Frequency
Previously_Insured	0.453245696384055	0.111179742472963	0.0127489213946076
Vehicle_Damage	0.322855533239059	0.0798788378907918	0.0210927276731923
Policy_Sales_Channel	0.0926538241488829	0.212714738107952	0.14232408691033
Age	0.0556240246120963	0.197497423621769	0.162691266211471
Region_Code	0.0313024351156935	0.171439657173009	0.15701644144436
Annual_Premium	0.0152640491218809	0.091307339040645	0.198385654872187
Vintage	0.0147035545221566	0.0518263960440637	0.21300027208064
Vehicle_Age	0.00991241452816332	0.0477605001790918	0.0485987847064768
Gender	0.00349092168212586	0.0200199661695129	0.0385058886024125
Driving_License	0.000947546645886527	0.0163753993002015	0.00563595610432349
