Feature	Gain	Cover	Frequency
Vehicle_Damage	0.476663934910154	0.0534874465131257	0.00550158024113309
Previously_Insured	0.326278708162679	0.0593289406009659	0.00304342736743533
Policy_Sales_Channel	0.0764670654231642	0.142432463165973	0.0622732061336767
Age	0.0572695183143787	0.208619031901195	0.203909633618167
Region_Code	0.0271064096863315	0.139379654562588	0.0934098092005151
Annual_Premium	0.0135011155366544	0.167368464398144	0.260564204611963
Vintage	0.0132139872182444	0.154796343987446	0.285965117640173
Vehicle_Age	0.00598039978398251	0.0390916050265527	0.0316048226618284
Gender	0.00351886096441218	0.0354960498440095	0.0537281985251083
