fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230716 223706	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.116223628358639	0.698414451189456	1251	351	0.857866240873306	1
20230716 223736	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	TRUE	491	0.0661160112528887	0.514170637687493	44	782	0.855351148057167	2
20230716 223744	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	25	TRUE	491	0.205100165916883	0.773968914207944	1396	702	0.85751033107718	3
20230716 223802	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.104598319727374	0.640860394209449	953	503	0.857993493442882	4
20230716 223814	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	61	TRUE	491	0.091015253732985	0.930461972078774	1797	204	0.857825970374914	5
20230716 223821	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	15	TRUE	491	0.276025854780673	0.983786975317344	2460	970	0.857315936721969	6
20230716 223830	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	11	TRUE	491	0.263081536016616	0.80696659336536	660	581	0.856994935346405	7
20230716 223900	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	389	TRUE	491	0.0330932041719643	0.44769732644927	2754	304	0.857861439414239	8
20230716 223910	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	75	TRUE	491	0.157388487795106	0.35905233349622	1636	434	0.856697560177625	9
20230716 223917	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	34	TRUE	491	0.224965054371569	0.564691312708601	2945	217	0.857870786749264	10
20230716 223926	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	18	TRUE	491	0.181058361610412	0.656844644519151	847	952	0.857469586728842	11
