fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230719 092228	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.247498887735844	0.637058618447208	2688	508	0.810837549683128	315
20230719 092531	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.116658882547156	0.631934239892918	2663	542	0.8032506542271	316
20230719 093619	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	233	TRUE	491	0.0852430185081786	0.319811507597356	930	515	0.802689969501692	317
20230719 093840	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.294901137042145	0.604580208662827	1988	263	0.80623162347692	318
20230719 094536	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.0304877826518647	0.654970254172897	1849	850	0.807926244334897	319
20230719 094947	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.0657520514073945	0.669625854998711	1179	941	0.807677928858151	320
20230719 095750	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	156	TRUE	491	0.104122214235003	0.394689945596061	2411	129	0.801026622927932	321
20230719 100256	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	92	TRUE	491	0.246924599520657	0.360403271759045	1959	61	0.802276005433954	322
20230719 100600	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	22	TRUE	491	0.223394692118318	0.908503421080043	2354	271	0.80362217588716	323
20230719 100822	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.297663524802953	0.720540033351793	458	998	0.802898715995103	324
20230719 101051	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.22194350619704	0.558376763490681	1406	349	0.807491152057723	325
20230719 101320	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.239097421281546	0.455806095171603	124	518	0.802345354174348	326
20230719 101542	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2	TRUE	491	0.260837401356947	0.881381634048279	1305	533	0.804894423861567	327
20230719 102902	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.0134807315620908	0.726948803424626	2973	360	0.808469342888979	328
20230719 103529	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	118	TRUE	491	0.146087074988451	0.618698820449272	2625	876	0.802836132683696	329
20230719 103853	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	34	TRUE	491	0.20970131323998	0.320753289843071	768	429	0.799451010883035	330
20230719 104416	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	93	TRUE	491	0.188667811230242	0.445087334476761	1237	731	0.802432456441326	331
20230719 104704	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.1800440662139	0.645177289562696	248	548	0.806417761096967	332
20230719 105136	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	76	TRUE	491	0.26293558484342	0.348110077313264	2979	693	0.804529298645147	333
20230719 105734	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	63	TRUE	491	0.0653632299565768	0.479318786650873	1775	810	0.803489661054305	334
20230719 110601	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.025362419258483	0.580240156116872	211	712	0.80175443947309	335
20230719 110815	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2	TRUE	491	0.276639526897618	0.824487331232452	2974	915	0.802567012848058	336
20230719 111051	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.212500156290069	0.6904754803441	1568	874	0.80729552039766	337
20230719 111328	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.188397505438584	0.648564589650161	969	968	0.804264880454423	338
20230719 111806	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	57	TRUE	491	0.124321723463346	0.583955284535233	2780	608	0.803722112699179	339
20230719 112059	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2	TRUE	491	0.127497002382447	0.980141029391834	2364	316	0.802059500083854	340
20230719 112439	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	46	TRUE	491	0.290480050765857	0.328549980277265	2270	1003	0.804224062617473	341
20230719 113104	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	88	TRUE	491	0.0776138448109874	0.983061982910428	1065	402	0.806508527971883	342
20230719 113458	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	49	TRUE	491	0.208272807191332	0.359213943047891	1163	805	0.803916092427546	343
20230719 113756	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.128679290209418	0.663829641377274	2705	18	0.805475122468358	344
20230719 114311	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.046575116333944	0.593873293060507	285	330	0.805879908051616	345
