fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230717 211549	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3	TRUE	491	0.295129369994228	0.855293406424532	1795	172	0.804786736782687	151
20230717 211841	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.188909863470446	0.629705878670677	937	1013	0.807598819756617	152
20230717 212124	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.197946452990286	0.668175077645201	1101	107	0.806434938327108	153
20230717 212531	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	49	TRUE	491	0.210655453064524	0.503091531649814	1143	755	0.802781360396859	154
20230717 213104	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	80	TRUE	491	0.154145269772487	0.612115788411861	2314	237	0.8044303106204	155
20230717 213340	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3	TRUE	491	0.217337254948489	0.781272535230359	2911	909	0.805312834136983	156
20230717 214617	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	174	TRUE	491	0.0309008684424742	0.377572465179116	1194	117	0.802500666079698	157
20230717 215010	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	47	TRUE	491	0.263208617600538	0.965728368051583	2918	199	0.804811898374313	158
20230717 215838	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	181	TRUE	491	0.183487592786506	0.428382590018515	1771	738	0.804772030933399	159
20230717 220343	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	54	TRUE	491	0.102576461099908	0.634817622890533	2903	681	0.803909841233132	160
20230717 220622	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.216262390004079	0.739877577815251	1200	309	0.805189626326831	161
20230717 220919	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2	TRUE	491	0.137120342554542	0.911516035569343	2425	213	0.802494154049723	162
20230717 221159	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.224387373848076	0.486698189639719	2413	384	0.805753443941251	163
20230717 221559	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	13	TRUE	491	0.0897689926885476	0.774167727374309	1220	993	0.803683666803408	164
20230717 223014	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	7	TRUE	491	0.0131062783623079	0.424298731288942	2394	552	0.796909130912501	165
20230717 223800	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	162	TRUE	491	0.210191953103649	0.3595311674244	2871	734	0.805679121372369	166
20230717 224525	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	143	TRUE	491	0.169755390358644	0.444573823397281	861	786	0.804055939225962	167
20230717 230418	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	6	TRUE	491	0.0097524205438327	0.751058170519676	2570	346	0.808713801985368	168
20230717 230702	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	11	TRUE	491	0.295916383123026	0.900788166231732	61	566	0.796175669721276	169
20230717 230943	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.193918564947338	0.554890758231445	2200	574	0.80966910573022	170
20230717 235624	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	912	TRUE	491	0.0103422967360262	0.539849698240077	835	43	0.805414817130393	171
